timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
3065314,-3.4,0.0,-0.2,0.57,0.00,9.61
3065364,-3.4,0.0,-0.2,0.57,0.00,9.61
3065414,-3.4,0.0,-0.2,0.57,-0.04,9.61
3065464,-3.4,0.0,-0.2,0.57,0.00,9.65
3065514,-3.4,0.0,-0.1,0.57,-0.04,9.61
3065564,-3.4,0.0,-0.1,0.57,-0.04,9.61
3065614,-3.4,0.0,-0.1,0.57,0.00,9.61
3065664,-3.4,0.0,-0.1,0.57,0.00,9.61
3065714,-3.4,0.0,-0.1,0.57,0.00,9.61
3065764,-3.4,0.0,-0.1,0.57,0.00,9.65
3065814,-3.4,0.0,-0.1,0.57,0.00,9.65
3065864,-3.4,0.0,-0.1,0.57,-0.04,9.65
3065914,-3.4,0.0,-0.1,0.57,0.00,9.61
3065964,-3.4,0.0,-0.1,0.57,0.00,9.61
3066014,-3.4,0.0,-0.1,0.57,0.00,9.61
3066064,-3.4,0.0,-0.1,0.57,0.00,9.65
3066114,-3.4,0.0,-0.1,0.57,0.00,9.61
3066164,-3.4,0.0,-0.1,0.57,0.00,9.61
3066214,-3.4,0.0,-0.1,0.57,0.00,9.61
3066264,-3.4,0.0,-0.1,0.57,0.00,9.61
3066314,-3.4,0.0,-0.1,0.57,0.00,9.61
3066364,-3.4,0.0,-0.1,0.57,0.00,9.61
3066414,-3.4,0.0,-0.1,0.57,0.00,9.65
3066464,-3.4,0.0,-0.1,0.57,-0.04,9.61
3066514,-3.4,0.0,-0.1,0.57,0.00,9.61
3066564,-3.4,0.0,-0.1,0.57,0.00,9.65
3066614,-3.4,0.0,-0.1,0.57,-0.04,9.65
3066664,-3.4,0.0,-0.1,0.57,0.00,9.65
3066714,-3.4,0.0,-0.1,0.57,0.00,9.65
3066764,-3.4,0.0,-0.1,0.57,0.00,9.61
3066814,-3.4,0.0,-0.1,0.57,0.00,9.61
3066864,-3.4,0.0,-0.1,0.57,0.00,9.61
3066914,-3.4,0.0,-0.1,0.57,-0.04,9.61
3066964,-3.4,0.0,-0.1,0.57,-0.04,9.61
3067014,-3.4,0.0,-0.1,0.57,0.00,9.61
3067064,-3.4,0.0,-0.1,0.57,0.00,9.65
3067114,-3.4,0.0,-0.1,0.57,-0.04,9.65
3067164,-3.4,0.0,-0.1,0.57,0.00,9.61
3067214,-3.4,0.0,-0.1,0.57,-0.04,9.61
3067264,-3.4,0.0,-0.1,0.57,0.00,9.61
3067314,-3.4,0.0,-0.1,0.61,-0.04,9.65
3067364,-3.4,0.0,-0.1,0.57,0.00,9.61
3067414,-3.4,0.0,-0.1,0.57,0.00,9.61
3067464,-3.4,0.0,-0.1,0.61,0.00,9.61
3067514,-3.4,0.0,-0.1,0.57,-0.04,9.61
3067564,-3.4,0.0,-0.1,0.57,-0.04,9.61
3067614,-3.4,0.0,-0.1,0.57,0.00,9.61
3067664,-3.4,0.0,-0.1,0.57,0.00,9.61
3067714,-3.4,0.0,-0.1,0.57,0.00,9.65
3067764,-3.4,0.0,-0.1,0.57,0.00,9.65
3067814,-3.4,0.0,-0.1,0.57,0.00,9.65
3067864,-3.4,0.0,-0.1,0.57,0.00,9.65
3067914,-3.4,0.0,-0.1,0.57,0.00,9.61
3067964,-3.4,0.0,-0.1,0.57,0.00,9.61
3068014,-3.4,0.0,-0.1,0.57,0.00,9.65
3068064,-3.4,0.0,-0.1,0.57,0.00,9.65
3068114,-3.4,0.0,-0.1,0.57,0.00,9.61
3068164,-3.4,0.0,-0.1,0.57,0.00,9.65
3068214,-3.4,0.0,-0.1,0.57,0.00,9.65
3068264,-3.4,0.0,-0.1,0.57,0.00,9.61
3068314,-3.4,0.0,-0.1,0.57,0.00,9.65
3068364,-3.4,0.0,-0.1,0.57,0.00,9.61
3068414,-3.4,0.0,-0.1,0.57,-0.04,9.61
3068464,-3.4,0.0,-0.1,0.57,0.00,9.61
3068514,-3.4,0.0,-0.1,0.57,0.00,9.61
3068564,-3.4,0.0,-0.1,0.57,-0.04,9.61
3068614,-3.4,0.0,-0.1,0.61,0.00,9.65
3068664,-3.4,0.0,-0.1,0.61,0.00,9.65
3068714,-3.4,0.0,-0.1,0.57,0.00,9.61
3068764,-3.4,0.0,-0.1,0.57,-0.04,9.61
3068814,-3.4,0.0,-0.1,0.61,-0.04,9.65
3068864,-3.4,0.0,-0.1,0.65,0.00,9.65
3068914,-3.5,0.0,-0.1,0.57,-0.04,9.61
3068964,-3.5,0.0,-0.1,0.61,0.00,9.65
3069014,-3.5,0.0,-0.1,0.61,0.00,9.65
3069064,-3.5,0.0,-0.1,0.57,-0.04,9.65
3069114,-3.5,0.0,-0.1,0.57,-0.04,9.61
3069164,-3.5,0.0,-0.1,0.57,0.00,9.65
3069214,-3.5,0.0,-0.1,0.57,0.00,9.61
3069264,-3.5,0.0,-0.1,0.57,-0.04,9.65
3069314,-3.5,0.1,-0.1,0.61,0.00,9.65
3069364,-3.5,0.1,-0.1,0.57,0.00,9.65
3069414,-3.5,0.1,-0.1,0.57,-0.04,9.61
3069464,-3.5,0.1,-0.1,0.61,0.00,9.65
3069514,-3.5,0.1,-0.1,0.57,-0.04,9.65
3069564,-3.5,0.1,-0.1,0.57,0.00,9.65
3069614,-3.5,0.1,-0.1,0.57,-0.04,9.61
3069664,-3.5,0.1,-0.1,0.57,0.00,9.61
3069714,-3.5,0.0,-0.1,0.57,0.00,9.65
3069764,-3.5,0.0,-0.1,0.57,-0.04,9.61
3069814,-3.5,0.0,-0.1,0.57,0.00,9.61
3069864,-3.5,0.0,-0.1,0.57,-0.04,9.61
3069914,-3.5,0.0,-0.1,0.57,0.00,9.65
3069964,-3.5,0.0,-0.1,0.57,0.00,9.61
3070014,-3.5,0.0,-0.1,0.57,0.00,9.65
3070064,-3.5,0.0,-0.1,0.57,0.00,9.61
3070114,-3.5,0.0,-0.1,0.57,-0.04,9.61
3070164,-3.5,0.0,-0.1,0.57,0.00,9.61
3070214,-3.5,0.0,-0.1,0.57,0.00,9.65
3070264,-3.5,0.0,-0.1,0.57,0.00,9.61
3070314,-3.5,0.0,-0.1,0.57,0.00,9.65
3070364,-3.5,0.0,-0.1,0.57,0.00,9.65
3070414,-3.5,0.0,-0.1,0.57,-0.04,9.61
3070464,-3.5,0.0,-0.1,0.57,0.00,9.65
3070514,-3.4,0.0,-0.1,0.57,0.00,9.61
3070564,-3.4,0.0,-0.1,0.57,0.00,9.61
3070614,-3.4,0.0,-0.1,0.57,0.00,9.61
3070664,-3.4,0.0,-0.1,0.57,0.00,9.65
3070714,-3.4,0.1,-0.1,0.57,0.00,9.65
3070764,-3.4,0.1,-0.1,0.57,0.00,9.65
3070814,-3.4,0.1,-0.1,0.57,0.00,9.61
3070864,-3.4,0.1,-0.1,0.57,-0.04,9.65
3070914,-3.4,0.1,-0.1,0.57,0.00,9.61
3070964,-3.4,0.1,-0.1,0.57,0.00,9.61
3071014,-3.4,0.1,-0.1,0.57,-0.04,9.61
3071064,-3.4,0.1,-0.1,0.57,0.00,9.65
3071114,-3.4,0.1,-0.1,0.57,0.00,9.61
3071164,-3.4,0.1,-0.1,0.57,0.00,9.65
3071214,-3.4,0.1,-0.1,0.57,-0.04,9.61
3071264,-3.4,0.1,-0.1,0.57,0.00,9.65
3071314,-3.4,0.1,-0.1,0.57,-0.04,9.61
3071364,-3.4,0.1,-0.1,0.57,0.00,9.65
3071414,-3.4,0.1,-0.1,0.57,0.00,9.61
3071464,-3.4,0.1,-0.1,0.57,0.00,9.61
3071514,-3.4,0.1,-0.1,0.57,-0.04,9.61
3071564,-3.4,0.1,-0.1,0.57,-0.04,9.65
3071614,-3.4,0.1,-0.1,0.57,0.00,9.61
3071664,-3.4,0.1,-0.1,0.57,0.00,9.61
3071714,-3.4,0.0,-0.1,0.57,0.00,9.61
3071764,-3.4,0.0,-0.1,0.57,0.00,9.65
3071814,-3.4,0.1,-0.1,0.57,0.00,9.61
3071864,-3.4,0.1,-0.1,0.57,0.00,9.65
3071914,-3.4,0.1,-0.1,0.57,-0.04,9.61
3071964,-3.4,0.1,-0.1,0.57,0.00,9.65
3072014,-3.4,0.1,-0.1,0.61,0.00,9.61
3072064,-3.4,0.1,-0.1,0.57,-0.04,9.65
3072114,-3.4,0.1,-0.1,0.54,-0.04,9.61
3072164,-3.4,0.1,-0.1,0.57,0.00,9.65
3072214,-3.4,0.1,-0.1,0.57,0.00,9.61
3072264,-3.4,0.1,-0.1,0.57,0.00,9.65
3072314,-3.4,0.1,-0.1,0.57,-0.04,9.61
3072364,-3.4,0.1,-0.1,0.57,0.00,9.61
3072414,-3.4,0.1,-0.1,0.57,0.00,9.61
3072464,-3.4,0.1,-0.1,0.57,-0.04,9.65
3072514,-3.4,0.1,-0.1,0.57,0.00,9.65
3072564,-3.4,0.1,-0.1,0.57,0.00,9.61
3072614,-3.4,0.1,-0.1,0.57,0.00,9.65
3072664,-3.4,0.1,-0.1,0.57,0.00,9.61
3072714,-3.4,0.1,-0.1,0.57,-0.04,9.61
3072764,-3.4,0.1,-0.1,0.57,0.00,9.65
3072814,-3.4,0.1,-0.1,0.57,0.00,9.65
3072864,-3.4,0.1,-0.1,0.57,0.00,9.65
3072914,-3.4,0.1,-0.1,0.57,0.00,9.65
3072964,-3.4,0.1,-0.1,0.57,0.00,9.65
3073014,-3.4,0.1,-0.1,0.57,-0.04,9.61
3073064,-3.4,0.1,-0.1,0.57,0.00,9.65
3073114,-3.4,0.1,-0.1,0.57,0.00,9.61
3073164,-3.4,0.1,-0.1,0.57,-0.04,9.65
3073214,-3.4,0.1,-0.1,0.57,0.00,9.61
3073264,-3.4,0.1,-0.1,0.57,0.00,9.61
3073314,-3.4,0.1,-0.1,0.57,-0.04,9.65
3073364,-3.4,0.1,-0.1,0.61,0.00,9.61
3073414,-3.4,0.1,-0.1,0.57,0.00,9.61
3073464,-3.4,0.1,-0.1,0.57,0.00,9.65
3073514,-3.4,0.1,-0.1,0.57,0.00,9.61
3073564,-3.4,0.1,-0.1,0.57,0.00,9.65
3073614,-3.4,0.1,-0.1,0.57,0.00,9.65
3073664,-3.4,0.1,-0.1,0.57,0.00,9.65
3073714,-3.4,0.1,-0.1,0.57,-0.04,9.61
3073764,-3.4,0.1,-0.1,0.57,0.00,9.65
3073814,-3.4,0.1,-0.1,0.57,0.00,9.61
3073864,-3.4,0.1,-0.1,0.57,-0.04,9.65
3073914,-3.4,0.1,-0.1,0.57,0.00,9.65
3073964,-3.4,0.1,-0.1,0.57,0.00,9.65
3074014,-3.4,0.1,-0.1,0.57,0.00,9.61
3074064,-3.4,0.1,-0.1,0.57,0.00,9.65
3074114,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074164,-3.4,0.1,-0.1,0.57,0.00,9.61
3074214,-3.4,0.1,-0.1,0.57,-0.04,9.65
3074264,-3.4,0.1,-0.1,0.57,-0.04,9.65
3074314,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074364,-3.4,0.1,-0.1,0.57,0.00,9.61
3074414,-3.4,0.1,-0.1,0.57,0.00,9.61
3074464,-3.4,0.1,-0.1,0.57,0.00,9.65
3074514,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074564,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074614,-3.4,0.1,-0.1,0.57,0.00,9.61
3074664,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074714,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074764,-3.4,0.1,-0.1,0.57,0.00,9.61
3074814,-3.4,0.1,-0.1,0.57,0.00,9.61
3074864,-3.4,0.1,-0.1,0.57,-0.04,9.61
3074914,-3.4,0.1,-0.1,0.57,-0.04,9.65
3074964,-3.4,0.1,-0.1,0.57,-0.08,9.65
3075014,-3.4,0.1,-0.1,0.57,-0.04,9.61
3075064,-3.4,0.1,-0.1,0.57,-0.04,9.61
3075114,-3.4,0.2,-0.1,0.57,0.00,9.61
3075164,-3.4,0.2,-0.1,0.57,-0.04,9.65
3075214,-3.4,0.2,-0.1,0.57,0.00,9.61
3075264,-3.4,0.2,-0.1,0.57,0.00,9.65
3075314,-3.4,0.2,-0.1,0.61,0.04,9.65
3075364,-3.4,0.2,-0.1,0.57,-0.11,9.65
3075414,-3.4,0.1,0.1,0.57,0.00,9.61
3075464,-3.4,0.1,0.1,0.57,0.08,9.65
3075514,-3.4,0.0,0.2,0.57,0.08,9.65
3075564,-3.4,0.0,0.2,0.57,-0.08,9.61
3075614,-3.3,-0.0,0.2,0.57,0.11,9.65
3075664,-3.3,-0.0,0.2,0.57,0.04,9.61
3075714,-3.3,-0.0,0.1,0.54,0.04,9.65
3075764,-3.3,-0.0,0.1,0.57,0.04,9.65
